City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
258,Belorechensk,RU,44.76,39.87,37.0,87,0,6.71,clear sky
259,Bambous Virieux,MU,-20.3428,57.7575,77.0,88,20,6.91,few clouds
260,Aksarka,RU,66.5606,67.7975,6.73,96,100,7.07,light snow
261,Pitmoaga,BF,12.2397,-1.8767,87.03,13,0,7.56,clear sky
262,Kango,GA,0.1943,10.0951,76.42,93,100,1.68,overcast clouds
263,Laurel,US,39.0993,-76.8483,53.01,40,75,13.8,broken clouds
264,San Patricio,US,28.017,-97.5169,73.0,60,75,14.97,broken clouds
265,Awbari,LY,26.5921,12.7805,62.42,29,100,8.68,overcast clouds
266,Verkhnyaya Maksakovka,RU,61.635,50.9674,17.6,93,90,6.71,snow
267,Iquitos,PE,-3.7481,-73.2472,87.8,58,40,8.05,scattered clouds
268,Catia La Mar,VE,10.6038,-67.0303,89.6,66,40,6.91,scattered clouds
269,Alice Springs,AU,-23.7,133.8833,73.4,20,21,6.91,few clouds
270,Ryotsu,JP,38.0833,138.4333,47.77,72,34,8.25,scattered clouds
271,Waingapu,ID,-9.6567,120.2641,77.79,78,63,4.41,broken clouds
272,Pevek,RU,69.7008,170.3133,-2.58,91,100,5.99,overcast clouds
273,Redcliffe,AU,-27.2307,153.0973,63.0,94,20,8.05,few clouds
274,Beloha,MG,-25.1667,45.05,73.67,92,0,4.41,clear sky
275,Hauge,NO,58.3436,6.2812,35.01,76,0,9.89,clear sky
276,Marzuq,YE,14.4,46.4667,61.5,52,15,4.61,few clouds
277,Grosseto,IT,42.8333,11.25,50.0,93,40,4.61,scattered clouds
278,Celestun,MX,20.8667,-90.4,78.22,73,51,14.88,broken clouds
279,Verkhoyansk,RU,67.5447,133.385,-19.77,85,100,2.48,overcast clouds
280,Pimentel,PE,-6.8367,-79.9342,84.2,58,0,12.66,clear sky
281,Port Alfred,ZA,-33.5906,26.891,70.0,90,28,11.25,scattered clouds
282,Calama,CL,-22.4667,-68.9333,73.4,35,20,23.02,few clouds
